objectId,coord_ra,coord_dec,r_psfmag,g_minus_r,gaia_ra,gaia_dec,pmRA,pmDE
579574569233288887,6.27375303532635,-72.65272068183948,18.90884019422604,0.4961891123820336,6.27374066499,-72.65272014377,0.043,-1.698
579574569233289614,6.245090263918098,-72.64546112701241,19.004984563196675,0.5391148020480152,6.24508227257,-72.64546095835,0.475,-1.229
579574637952770307,5.66060060968879,-72.64726586152065,18.984816886845927,0.533891090021136,5.66059210773,-72.64726264614,0.881,-1.015
579574637952770684,5.557308037326564,-72.64730116539782,19.32546833815752,0.5960989626276891,5.55730302257,-72.64729859118,0.541,-1.041
579575187708578129,6.328469913763882,-72.61362573439222,19.24734186808344,0.5267358183369204,6.3284702154,-72.6136232268,0.673,-1.587
579575187708578169,6.339694517286464,-72.60660398579591,18.99927504481881,0.5793788274597205,6.33969430169,-72.60660002685,0.406,-1.035
579575187708578533,6.33708010156112,-72.53883683157012,19.37360327791661,0.5848872342376232,6.33707865137,-72.53883224312,0.421,-1.8
579575256428052757,6.281685845796622,-72.63518745001195,19.430161938684027,0.6220488993677158,6.281678961,-72.63518431844,0.867,-1.256
579575256428055052,6.073910184662538,-72.63487336766124,19.232827015901897,0.5264034060470806,6.07390917049,-72.63487217131,0.952,-1.363
579575256428055659,5.767181482253153,-72.62901584726409,19.12946855535924,0.5759278544280981,5.76716461552,-72.62901303602,0.174,-1.058
579575256428055662,5.864856563742912,-72.6409730986827,19.41185108826992,0.5667737942852646,5.86485669641,-72.64097123866,0.849,-1.191
579575256428055663,5.831670128499567,-72.62611264291041,19.53970649514673,0.6425660349090272,5.83165949523,-72.62611132566,0.796,-1.707
579575256428055670,5.804613799165901,-72.62319407810001,19.76953198407692,0.6545002645528903,5.80461670146,-72.62319138203,0.33,-1.099
579575256428056223,5.9031952226697,-72.63464649906099,19.221867619084016,0.5653364474578808,5.9031833992,-72.63464623984,0.326,-0.91
579575256428056249,5.887298547528425,-72.63697914985691,19.234190370270333,0.6200542177921449,5.88729850207,-72.63697772892,1.049,-1.274
579575256428056483,6.048663414602462,-72.62632435674722,19.242605604906352,0.5418822607891585,6.04866554507,-72.62632289477,0.833,-1.532
579575256428056579,6.11735660684392,-72.6210354663292,19.1859433016742,0.5826458963484953,6.11734773289,-72.62103168588,0.733,-0.8
579575256428056581,6.102163497892487,-72.62273533633686,19.265655871105366,0.5430782553892257,6.10215892634,-72.6227332649,0.662,-1.561
579575256428056663,6.173229596987069,-72.61966804743982,19.29458113812154,0.5320009977928457,6.17322728135,-72.61966443713,0.537,-0.879
579575256428057143,6.27484438869629,-72.59371382244701,18.811705958884914,0.5115731908672458,6.27484095535,-72.59370904178,0.478,-1.345
579575256428057144,6.278125827768879,-72.58364773854444,18.892245405118345,0.5346083133831776,6.27812145407,-72.58364458754,0.877,-1.346
579575256428057459,6.133200544631771,-72.58210719271979,19.26149814490692,0.5256344844011984,6.1332001525,-72.58210413253,0.456,-1.365
579575325147534023,5.49806135279912,-72.63790984197658,19.15776503128991,0.5251216071529257,5.49805362463,-72.63790640859,0.188,-1.297
579575325147534025,5.475861582818667,-72.63798660193443,19.28561819935969,0.5558807734873312,5.47586705103,-72.63798241253,0.423,-1.168
579575325147534028,5.435309499762576,-72.63975075316984,19.463738592899816,0.5865267890479657,5.43529670411,-72.63974724406,0.213,-1.465
579575325147534711,5.507204654248246,-72.61648616651102,19.03536897878526,0.5762131185043629,5.50722301315,-72.6164847608,0.023,-0.907
579575325147534715,5.479230344747566,-72.61592324778924,19.24589180285878,0.5615473944774294,5.47922742745,-72.61591917965,1.046,-0.307
579575325147534716,5.4927399026624855,-72.60858776194357,19.249523822132844,0.5298582001638188,5.49273758653,-72.60858290335,0.586,-1.144
579575325147535246,5.5522052345405335,-72.62672017178515,19.178649639392223,0.520317776147941,5.552199629,-72.62671753399,0.18,-1.024
579575325147535248,5.539345231606033,-72.63195362567777,19.440593864583043,0.589057725804782,5.53933853874,-72.63195169115,-0.069,-0.818
579575325147535411,5.583682894508942,-72.62658771931912,19.022075655704832,0.5647935498809851,5.58368135627,-72.62658312582,0.46,-1.691
579575325147535541,5.552033707726259,-72.61599969116274,18.9589350008,0.5020436429417785,5.55203243486,-72.61599555135,0.504,-1.436
579575325147535792,5.193831951169173,-72.60260937303713,19.24003077558597,0.536436963904741,5.19382596383,-72.60260673943,0.27,-1.185
579575325147535962,5.454591843617124,-72.6167599155117,19.090487532551123,0.5377645914554989,5.45458600862,-72.61675510117,0.577,-1.234
579575325147535963,5.466032682568294,-72.60777072346973,19.244144913773887,0.5179420059960975,5.4660152851,-72.60777127347,0.046,-0.931
579575325147536060,5.397035804090413,-72.59554476826787,18.76777044372913,0.5212474210551079,5.39691553407,-72.59553035082,14.76,-5.529
579575325147536061,5.364172304192175,-72.61021121039829,18.941985082453726,0.5550719299937938,5.36415599597,-72.61020783162,0.949,-1.155
579575325147536062,5.411460422400568,-72.59309574867059,19.070927914676204,0.5371063218623071,5.41145327334,-72.59309319434,0.595,-1.158
579575325147536063,5.36446960379438,-72.6021587480556,19.33911075382541,0.6131618035068342,5.36446569055,-72.60215483897,0.318,-1.595
