objectId,coord_ra,coord_dec,ebv,refExtendedness,patch,g_inputCount,r_inputCount,i_inputCount,y_inputCount,g_psfmag,g_psfmagerr,g_cModelmag,r_psfmag,r_psfmagerr,r_cModelmag,i_psfmag,i_psfmagerr,i_cModelmag,y_psfmag,y_psfmagerr,y_cModelmag,g_minus_r,g_minus_i,r_minus_i,predicted_g_minus_i_1,residual_g_minus_i_1,predicted_r_minus_i_2,residual_r_minus_i_2,predicted_r_minus_i_3,residual_r_minus_i_3
579574569233288887,6.27375303532635,-72.65272068183948,0.0301292,0.0,12,1,2,1,1,19.405029306608075,0.0048482887954413,19.403734720265767,18.90884019422604,0.0027868295067556,18.932108304588365,18.6930644750716,0.003714421273202,18.70040347924684,18.624070964885902,0.0178447649574054,18.623423349519964,0.49618911238203367,0.7119648315364735,0.21577571915443983,0.685579441677634,0.026385389858843,0.1915458390524858,0.0242298801019575,0.2028274254747968,0.0129482936796465
579574569233288888,6.28022789374351,-72.65521681094741,0.0301139,0.0,12,1,2,1,1,22.21517409436796,0.0449261139627516,22.213167411709243,21.12885799677585,0.0156678119250419,21.1466000925077,20.62286746014496,0.0155420436195915,20.62909468813337,20.40454544248118,0.0889553036932419,20.40255562615152,1.0863160975921105,1.5923066342230001,0.5059905366308897,1.5633651594670095,0.0289414747559868,0.4831885068329966,0.022802029797893,0.4767924397342636,0.029198096896626
579574569233289597,5.98179066933435,-72.65392761847959,0.0315857,0.0,12,1,1,2,2,20.918109579206074,0.0144267238154885,20.87754833329241,20.06353890290484,0.0094700073787826,20.090122982632195,19.780465339583483,0.005802554675021,19.78245891748608,19.704953022149013,0.0323819085642617,19.700446188277223,0.8545706763012362,1.1376442396225919,0.2830735633213557,1.1779138345253044,-0.0402695949027125,0.33020040449192,-0.0471268411705643,0.31471829023499,-0.0316447269136342
579574569233289614,6.245090263918098,-72.64546112701241,0.0302313,0.0,12,1,2,1,1,19.54409936524469,0.0052297174610308,19.54169573877147,19.004984563196675,0.0029394031528062,19.02747627695652,18.77360143420227,0.0038951793218024,18.78013447908254,18.67316579007485,0.018377192692554,18.66408807656592,0.5391148020480152,0.7704979310424207,0.2313831289944055,0.7505230902733808,0.0199748407690398,0.2128711619765275,0.0185119670178779,0.2199083422105802,0.0114747867838252
579574569233289655,6.230902831716601,-72.6438049479473,0.0303143,1.0,12,1,2,1,1,23.583001146391936,0.1497820709735809,23.16091845446928,22.25957217797249,0.0414272360831473,21.97724004707556,21.60919817478876,0.0358634155949555,21.10966194858295,21.255622610252203,0.1890100668576908,21.036380886218467,1.3234289684194458,1.9738029716031775,0.6503740031837317,1.9806110498869869,-0.0068080782838093,0.6422201714649911,0.0081538317187406,0.7116989435500883,-0.0613249403663566
579574637952770076,5.59292606813708,-72.65018707805682,0.0314259,0.0,13,1,1,3,1,23.13296848433626,0.1008680347088489,23.134103163056416,21.893235429807444,0.0359832304732648,21.89436301998999,20.95740758004317,0.0122499708959869,20.957366460552542,20.60374349340444,0.1043719317654221,20.57841589964664,1.2397330545288163,2.1755609042930892,0.9358278497642729,1.8597036551816208,0.3158572491114684,0.6129263460411454,0.3229015037231275,0.8792276687248995,0.0566001810393733
579574637952770307,5.66060060968879,-72.64726586152065,0.0312705,0.0,13,1,2,4,1,19.518707976867063,0.0051976304118592,19.486525390301367,18.984816886845927,0.0027425310564551,18.98698131932617,18.766128788621465,0.0022649026295864,18.76607645138093,18.66843637137183,0.0181041868137769,18.654482377371167,0.533891090021136,0.7525791882455977,0.21868809822446167,0.7427160572142391,0.0098631310313586,0.210367100525898,0.0083209976985636,0.2148085309046337,0.0038795673198278
579574637952770684,5.557308037326564,-72.64730116539782,0.0315357,0.0,13,1,1,3,1,19.92156730078521,0.0069827640014426,19.901505883450337,19.32546833815752,0.0050740749260027,19.319017028635272,19.096728450968456,0.0028350427913228,19.095893731392167,19.06714656938008,0.0258797795865313,19.05208497315485,0.5960989626276891,0.8248388498167536,0.22873988718906446,0.8334436664470959,-0.0086048166303422,0.2382252711320376,-0.0094853839429731,0.2347943437831054,-0.0060544565940409
579575187708578067,6.31364478628585,-72.63662750590187,0.0297807,0.0,21,1,2,2,1,23.41487702100142,0.1324151720848149,23.43923451293412,22.154160961298714,0.038502206258871,22.164387443721267,21.287929401707924,0.019726079490261,21.29311498939159,20.917523498447625,0.1390614433291335,20.879247952174783,1.2607160597027054,2.126947619293496,0.8662315595907906,1.895246826204984,0.231700793088512,0.6253171492081626,0.2409144103826279,0.836261119295944,0.0299704402948465
579575187708578129,6.328469913763882,-72.61362573439222,0.0295958,0.0,21,1,2,3,1,19.77407768642036,0.006219248589891,19.7742120264842,19.24734186808344,0.0035058991652996,19.264673217085456,19.01024795661245,0.0026902420657645,19.01373711113557,18.88482313662892,0.0214489628951512,18.88659033470461,0.5267358183369204,0.7638297298079095,0.23709391147098913,0.7319735030348806,0.0318562267730289,0.2068924168947425,0.0302014945762465,0.2180228036364642,0.0190711078345248
