Source,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,e_pmRA,e_pmDE,Gmag,BPmag,RPmag
4689646993481483008,6.46560061716,-71.93772245977,0.1836,4.955,-2.454,0.070,0.075,17.179817,17.478098,16.678999
4689646993481842688,6.49209648647,-71.93949449893,0.2758,5.380,-2.200,0.083,0.089,17.402185,17.645174,16.873459
4689646993481845888,6.49420617090,-71.93738059119,0.2904,5.429,-2.074,0.127,0.131,18.150387,18.483677,17.632336
4689646993481847424,6.50039186305,-71.93624607359,0.2109,5.093,-2.030,0.108,0.114,17.917084,18.245590,17.459074
4689646993481853568,6.50400353160,-71.93233678160,0.1594,5.071,-2.665,0.108,0.119,18.011538,18.353592,17.558746
4689646993481860864,6.49667830415,-71.93009186332,0.0890,5.319,-2.547,0.077,0.084,17.390790,17.702650,16.919290
4689646993482152064,6.47862003943,-71.93772166386,0.1712,4.793,-2.225,0.064,0.067,16.994694,17.381021,16.457176
4689646993482152320,6.48165547571,-71.94025660350,2.6033,10.915,-7.865,0.446,0.490,18.240023,18.327877,17.443611
4689646993482154112,6.48892576054,-71.93513170506,0.2748,4.661,-2.108,0.136,0.144,18.323824,18.703135,17.822308
4689646993482154752,6.48145934946,-71.94273366152,0.3676,16.512,5.757,0.045,0.045,16.240757,16.560000,15.764988
4689646993494115456,6.45993378224,-71.93655023495,0.8281,5.331,-2.654,0.590,0.695,20.278261,20.906975,19.562424
4689646993494124032,6.46989398351,-71.94621040213,0.1629,4.892,-2.112,0.176,0.191,18.664581,18.889624,17.990133
4689646993494129664,6.47479429735,-71.94243944422,0.2945,3.909,-3.588,0.940,1.136,20.469986,21.261845,19.983309
4689646993494136064,6.48234433516,-71.93923252234,0.4260,5.272,-2.913,0.297,0.308,19.408886,19.809145,18.667292
4689646993494158592,6.49780713015,-71.93914904906,3.1464,5.114,-1.235,1.161,1.500,20.649126,21.606653,20.080227
4689646993503828864,6.47387247403,-71.94420154598,0.1103,5.695,-2.270,0.225,0.242,19.065853,19.474276,18.562029
4689646993503912064,6.46821586288,-71.93643864979,0.1824,5.322,-2.613,0.016,0.017,13.895378,14.339254,13.280787
4689646993503912832,6.47259845433,-71.94475232689,0.4795,4.888,-2.172,0.510,0.699,20.085140,20.732450,19.370853
4689646993503914752,6.47840019652,-71.94314509338,0.0570,4.891,-1.908,0.301,0.320,19.389214,19.803406,18.891064
4689646993503915904,6.48607631446,-71.93542361403,0.0474,6.323,-2.156,0.463,0.472,19.963657,20.626710,19.226019
4689646993503916544,6.49128518332,-71.93985593859,0.0355,4.739,-2.267,0.339,0.333,19.370977,,
4689646993503917696,6.49646098063,-71.93117110403,0.6950,5.034,-2.786,0.324,0.359,19.529180,19.951307,18.892544
4689646993503919744,6.50889660571,-71.92856547140,-0.1320,0.171,-1.795,0.279,0.309,19.434404,19.903940,18.989569
4689646993504032000,6.46532331918,-71.93892523656,1.2774,4.601,-3.116,1.195,1.304,20.708252,21.222840,19.836535
4689646993504032512,6.46602562708,-71.93834746744,-0.6213,7.373,-6.943,2.106,2.917,20.833931,20.643929,19.866200
4689646993504037760,6.47487014566,-71.93907860532,0.4667,5.049,-2.381,0.780,0.736,20.546580,20.860817,20.059772
4689646993504038528,6.47686088585,-71.93469311927,-0.8283,3.443,-2.777,1.208,1.551,20.732157,20.969528,19.781076
4689646993504038784,6.47831609494,-71.93681473076,0.6568,3.841,-2.278,1.257,1.153,20.761492,21.292221,19.916693
4689646993504039040,6.47927096373,-71.94048656267,0.6741,3.806,-0.615,1.023,1.274,20.564772,21.057300,19.761017
4689646993504041472,6.48524469953,-71.94171370198,-0.7603,6.152,0.295,1.015,1.472,20.781979,21.454820,20.081526
4689646993504041600,6.48498612828,-71.93314061555,-0.1973,5.149,-1.422,0.785,0.760,20.625420,19.694447,20.233050
4689646993504041984,6.48671681448,-71.93645121286,,,,,,20.875595,,20.685251
4689646993504044928,6.49522953895,-71.93159991968,-1.2827,4.535,-2.753,0.562,0.709,20.266510,21.190252,17.147047
4689646993504046336,6.50113487533,-71.93237759150,-0.4967,1.204,-2.542,0.784,1.056,20.512520,21.186022,19.943542
4689646993504047744,6.50580254220,-71.93807035111,-0.1473,6.071,-1.926,1.073,1.327,20.687870,21.471796,19.983790
4689646993504051456,6.51247531051,-71.93278439216,0.2150,4.723,-1.752,0.919,1.074,20.438414,21.275911,19.698643
4689646997780401408,6.51261902105,-71.93626154362,0.1729,5.856,-2.252,0.361,0.370,19.661068,20.276577,19.030600
4689646997780403712,6.50015367110,-71.93825259515,0.2638,5.464,-1.940,0.367,0.383,19.664364,20.109460,19.097229
4689646997780534144,6.47323993318,-71.93418890715,0.1546,5.447,-2.331,0.216,0.231,18.887970,19.171478,18.306005
4689646997780534656,6.47800987834,-71.93599755598,0.3774,5.373,-1.492,0.310,0.341,19.568577,20.170990,19.024902
4689646997780536064,6.47668273851,-71.93970171256,0.3680,4.004,-3.491,0.253,0.260,18.283953,18.406755,17.548738
4689646997780536192,6.47799895325,-71.93922507544,-0.0577,4.941,-2.710,0.198,0.200,18.677057,19.001383,18.105835
4689646997780538368,6.45908230876,-71.94061907754,-0.0228,4.434,-1.281,0.935,0.972,20.429344,,
4689646997780538752,6.45856850717,-71.93982413488,0.1386,5.582,-1.469,0.682,0.522,18.646673,,
4689646997780538880,6.46227367353,-71.94121538239,0.0465,5.731,-2.458,0.704,0.677,,,
4689646997780539776,6.46104466730,-71.94268246831,0.2573,5.228,-1.951,0.104,0.117,17.907055,,
4689646997780540928,6.47013174717,-71.94494034820,-0.3188,-0.617,-1.057,0.238,0.257,19.118025,19.252968,18.277490
4689646997780600704,6.50154797327,-71.92832255184,,,,,,20.982626,21.593393,20.079320
4689646997780641664,6.47503193008,-71.93828959270,-0.4207,0.054,-4.188,1.296,2.167,20.780514,21.006031,20.082047
4689646997780642432,6.49117403872,-71.93049046120,,,,,,20.916626,21.105034,19.521660
4689646997780737024,6.48412715390,-71.94085248112,,,,,,21.060379,22.059093,20.341293
4689646997787200384,6.51136589371,-71.92863009476,0.3322,4.957,-2.230,0.248,0.280,19.291204,19.780804,18.772455
4689646997787201664,6.50582693286,-71.93048319450,0.1590,5.668,-1.888,0.282,0.284,19.307820,19.799164,18.753570
4689646997787290752,6.49855353788,-71.92892739623,0.6680,4.962,-3.354,0.271,0.290,19.399054,19.761463,18.802248
