objectId,coord_ra,coord_dec,ebv,refExtendedness,patch,g_inputCount,r_inputCount,i_inputCount,y_inputCount,g_psfmag,g_psfmagerr,g_cModelmag,r_psfmag,r_psfmagerr,r_cModelmag,i_psfmag,i_psfmagerr,i_cModelmag,y_psfmag,y_psfmagerr,y_cModelmag,g_minus_r,g_minus_i,r_minus_i,predicted_g_minus_i_1,residual_g_minus_i_1,predicted_r_minus_i_2,residual_r_minus_i_2,predicted_r_minus_i_3,residual_r_minus_i_3
579574569233288887,6.27375303532635,-72.65272068183948,0.0301292,0.0,12,1,2,1,1,19.405029306608075,0.0048482887954413,19.403734720265767,18.90884019422604,0.0027868295067556,18.932108304588365,18.6930644750716,0.003714421273202,18.70040347924684,18.624070964885902,0.0178447649574054,18.623423349519964,0.49618911238203367,0.7119648315364735,0.21577571915443983,0.685579441677634,0.026385389858843,0.1915458390524858,0.0242298801019575,0.2028274254747968,0.0129482936796465
579574569233289614,6.245090263918098,-72.64546112701241,0.0302313,0.0,12,1,2,1,1,19.54409936524469,0.0052297174610308,19.54169573877147,19.004984563196675,0.0029394031528062,19.02747627695652,18.77360143420227,0.0038951793218024,18.78013447908254,18.67316579007485,0.018377192692554,18.66408807656592,0.5391148020480152,0.7704979310424207,0.2313831289944055,0.7505230902733808,0.0199748407690398,0.2128711619765275,0.0185119670178779,0.2199083422105802,0.0114747867838252
579574637952770307,5.66060060968879,-72.64726586152065,0.0312705,0.0,13,1,2,4,1,19.518707976867063,0.0051976304118592,19.486525390301367,18.984816886845927,0.0027425310564551,18.98698131932617,18.766128788621465,0.0022649026295864,18.76607645138093,18.66843637137183,0.0181041868137769,18.654482377371167,0.533891090021136,0.7525791882455977,0.21868809822446167,0.7427160572142391,0.0098631310313586,0.210367100525898,0.0083209976985636,0.2148085309046337,0.0038795673198278
579574637952770684,5.557308037326564,-72.64730116539782,0.0315357,0.0,13,1,1,3,1,19.92156730078521,0.0069827640014426,19.901505883450337,19.32546833815752,0.0050740749260027,19.319017028635272,19.096728450968456,0.0028350427913228,19.095893731392167,19.06714656938008,0.0258797795865313,19.05208497315485,0.5960989626276891,0.8248388498167536,0.22873988718906446,0.8334436664470959,-0.0086048166303422,0.2382252711320376,-0.0094853839429731,0.2347943437831054,-0.0060544565940409
579575187708578129,6.328469913763882,-72.61362573439222,0.0295958,0.0,21,1,2,3,1,19.77407768642036,0.006219248589891,19.7742120264842,19.24734186808344,0.0035058991652996,19.264673217085456,19.01024795661245,0.0026902420657645,19.01373711113557,18.88482313662892,0.0214489628951512,18.88659033470461,0.5267358183369204,0.7638297298079095,0.23709391147098913,0.7319735030348806,0.0318562267730289,0.2068924168947425,0.0302014945762465,0.2180228036364642,0.0190711078345248
579575187708578169,6.339694517286464,-72.60660398579591,0.0296572,0.0,21,2,2,3,1,19.57865387227853,0.0038440460237972,19.57112833719152,18.99927504481881,0.0029592510865423,19.0139963555883,18.770838657002848,0.0022916711377891,18.77364620744732,18.66981623442712,0.0176526653030773,18.66800827228928,0.5793788274597205,0.8078152152756815,0.22843638781596098,0.8095635133364081,-0.0017482980607266,0.2311699093591426,-0.0027335215431816,0.2302155467476393,-0.0017791589316783
579575187708578533,6.33708010156112,-72.53883683157012,0.0311029,0.0,21,2,8,7,3,19.958490512154235,0.0051174849613273,19.956774956228347,19.37360327791661,0.0019236977773544,19.36749896097968,19.124586686466767,0.0020656635222398,19.1176990309208,19.0141142230078,0.0140790546493231,19.01090246451182,0.5848872342376232,0.833903825687468,0.24901659144984478,0.8174731997765472,0.0164306259109208,0.233529688227859,0.0154869032219857,0.2372049286763219,0.0118116627735228
579575256428052757,6.281685845796622,-72.63518745001195,0.0299436,0.0,22,1,2,2,1,20.052210838051742,0.007634249015091,20.05265768169922,19.430161938684027,0.0040099095240146,19.45128095862283,19.150280926732883,0.0036373775037742,19.157144630860124,18.95945131679808,0.0234732931810392,18.95552421050605,0.6220488993677158,0.9019299113188595,0.2798810119511437,0.8697522874308474,0.032177623888012,0.2485565093356769,0.0313245026154667,0.2548095211011023,0.0250714908500413
579575256428055052,6.073910184662538,-72.63487336766124,0.0313201,0.0,22,1,2,3,2,19.759230421948978,0.0060538994630111,19.75875898177284,19.232827015901897,0.003497220520715,19.24965561400514,18.98761265950139,0.0027078245323166,18.990936275568885,18.879608742147543,0.0153169975118547,18.872992902751264,0.5264034060470806,0.7716177624475868,0.24521435640050626,0.7314731230205582,0.0401446394270286,0.2067297743878149,0.0384845820126913,0.2202236081431523,0.0249907482573539
579575256428055659,5.767181482253153,-72.62901584726409,0.0312571,1.0,22,2,2,5,2,19.705396409787337,0.0040865470465331,19.68269667987213,19.12946855535924,0.0030005288347965,19.1122197401849,18.926825042023808,0.0019697584127903,18.90231457453232,18.790045947890214,0.01407553130315,18.765345418451364,0.5759278544280981,0.7785713677635293,0.20264351333543118,0.804587000887943,-0.0260156331244136,0.2296737089319767,-0.0270301955965455,0.2221725649156457,-0.0195290515802145
