objectId,coord_ra,coord_dec,ebv,refExtendedness,patch,g_inputCount,r_inputCount,i_inputCount,y_inputCount,g_psfmag,g_psfmagerr,g_cModelmag,r_psfmag,r_psfmagerr,r_cModelmag,i_psfmag,i_psfmagerr,i_cModelmag,y_psfmag,y_psfmagerr,y_cModelmag
579579448316135008,5.301725639116059,-71.58512433784152,0.0311122,0.0,83,1,0,2,-1,22.843647124073982,0.07754526325809082,22.831906973599338,,,,22.729166927356694,0.07103058021440908,22.72560572259067,,,
579579448316135010,5.625725226359303,-71.58381137148058,0.0328322,1.0,83,0,0,1,-1,,,,,,,23.57363634853541,0.21983536877421675,23.35818891334961,,,
579579448316135011,5.474957685636346,-71.58417117586171,0.0322136,0.0,83,1,0,3,-1,,,,,,,22.472205655605055,0.04629639508022342,22.47067554686305,,,
579579448316135012,5.234885150646173,-71.58516513812567,0.0306243,0.0,83,1,0,2,-1,23.839573065178822,0.19117263282138153,23.82109732556329,,,,22.95647733598131,0.08679029375121634,22.9541633043428,,,
579579448316135015,5.191105835586383,-71.58524962405612,0.0302411,0.0,83,1,0,2,-1,25.02629677589402,0.5677401457237278,24.988101662165647,,,,23.869011925425887,0.19938338079733656,23.87823712874878,,,
579579448316135016,5.170908739440127,-71.58507088915063,0.0300469,1.0,83,1,0,2,-1,23.95182197327386,0.2115882516818081,23.55326167778606,,,,22.855399031069574,0.07910131564030372,22.412435078645498,,,
579579448316135018,5.324088555161709,-71.5846313885054,0.0312692,,83,1,0,2,-1,24.301172353495403,0.29179988872618806,23.8700491875261,,,,23.888686027716137,0.20443351561682316,23.52401258282839,,,
579579448316135019,5.566689233806961,-71.58346158744811,0.0326598,1.0,83,0,0,2,-1,,,,,,,23.108902432085955,0.09926343611765343,22.720568264624273,,,
579579448316135020,5.161343229685114,-71.58490293112395,0.0299583,0.0,83,1,0,2,-1,22.2025962042946,0.04357516477997875,22.200361954968276,,,,21.895923626704565,0.033456903425421826,21.893693776718074,,,
579579448316135023,5.202704198269055,-71.58483924476037,0.0303581,1.0,83,1,0,2,-1,24.223602968063346,0.2715530813886929,23.951850193783187,,,,23.921271994235447,0.20948245644126556,23.389587144990728,,,
579579448316135024,5.182892049231092,-71.58459280530421,0.0301669,0.0,83,1,0,2,-1,22.355807716146856,0.05012471537603275,22.356355584841463,,,,22.02277404266461,0.0374543206057876,22.022184030094355,,,
579579448316135027,5.540018032994093,-71.58295159909147,0.0325536,1.0,83,0,0,2,-1,,,,,,,21.824649493325232,0.03128604884787063,21.269669410087257,,,
579579448316135029,5.428686234331324,-71.5837308918502,0.0319087,1.0,83,1,0,2,-1,25.464742926872763,0.8463297853550136,25.065867441981325,,,,23.953306282589477,0.2174509842185607,23.89392085131481,,,
579579448316135030,5.329255894517509,-71.5841751750862,0.0313108,1.0,83,1,0,2,-1,27.836403848058396,7.533599617064601,29.228306049657604,,,,23.97787075370514,0.22164675526176292,23.805745028803123,,,
579579448316135031,5.395284505324198,-71.58379772654672,0.0316912,1.0,83,1,0,2,-1,23.475132526995402,0.13635362673788579,23.296993952263527,,,,23.559066605495694,0.15143926057831605,23.373827062567656,,,
579579448316135032,5.342691516689651,-71.5840669358534,0.0313865,1.0,83,1,0,2,-1,,,,,,,23.9564571765397,0.21757802577192176,23.595013396024076,,,
579579448316135033,5.244941257442025,-71.58435291499812,0.0307114,,83,1,0,2,-1,24.969439921629416,0.5386294892667928,24.622023142389864,,,,23.824267526299543,0.19172725066847757,23.282464265151926,,,
579579448316135034,5.349444393796202,-71.58378387837615,0.0314253,0.0,83,1,0,2,-1,23.71448290611154,0.1708353331155288,23.72841231454501,,,,23.52267831347867,0.14647272824297794,23.53378963292707,,,
579579448316135036,5.557858960715731,-71.58278313635122,0.0326318,1.0,83,0,0,2,-1,,,,,,,23.393232238549295,0.1286851564390998,22.974249245049315,,,
579579448316135037,5.2596839053509035,-71.583910451289,0.0308296,0.0,83,1,0,2,-1,22.725622438228324,0.06971994481272638,22.706672500088295,,,,22.233245725190166,0.04527624119759944,22.24009043715664,,,
579579448316135038,5.60981951210841,-71.58225108211492,0.0328129,0.0,83,0,0,1,-1,,,,,,,20.727692442721743,0.017538674402535405,20.7341901152949,,,
579579448316135040,5.192820580447479,-71.58417278829073,0.0302681,1.0,83,1,0,2,-1,23.614369310129526,0.1561893747375614,23.526911612298065,,,,23.079865554238218,0.09714036542416307,22.93757242012591,,,
579579448316135041,5.156904179223263,-71.58427732086882,0.0299235,1.0,83,1,0,2,-1,24.031846373613067,0.22696313639434113,23.951369572149943,,,,23.378751288139398,0.12764324247322473,23.341304908187396,,,
579579448316135046,5.317670253427751,-71.58359038718277,0.0312389,1.0,83,1,0,2,-1,24.74792355664363,0.43800762303448765,24.303203572421488,,,,23.484308388168024,0.14127263292573472,23.212275383335566,,,
579579448316135047,5.506337748498253,-71.58259395677582,0.0323809,1.0,83,0,0,2,-1,,,,,,,23.465757484867826,0.13849584757030295,23.340955507692797,,,
579579448316135048,5.208031261558255,-71.5838028433397,0.0304119,1.0,83,1,0,2,-1,25.04292285627535,0.5736740666162709,24.48727610856743,,,,23.71861251519286,0.174133818239536,23.316938341279176,,,
