objectId,coord_ra,coord_dec,ebv,refExtendedness,patch,g_inputCount,r_inputCount,i_inputCount,y_inputCount,g_psfmag,g_psfmagerr,g_cModelmag,r_psfmag,r_psfmagerr,r_cModelmag,i_psfmag,i_psfmagerr,i_cModelmag,y_psfmag,y_psfmagerr,y_cModelmag
579577455451311887,4.777510588189129,-72.08959713741324,0.0310128,,54,4,5,12,3,24.554627245580576,0.1900200969521195,,24.695915754097225,0.20276438423259616,,24.61110041304979,0.16778476584751248,,23.601859068269434,0.8641773878934664,
579577455451311889,4.737367691583785,-72.08944402331468,0.0310547,0.0,54,3,6,11,1,23.283739723465267,0.07030836251659194,23.31115314636365,22.94152765515294,0.037161576941401944,22.947541677113023,22.9749317309263,0.038790274506771284,22.9704408394499,22.674298674798724,0.6149604012823099,22.668017548453705
579577455451311890,4.737868065418932,-72.0898887081988,0.0310584,,54,3,6,11,1,24.523491038854715,0.2280392666712696,24.387075431998976,24.256414300911327,0.12391836664273181,24.147901081945477,24.070516820524944,0.10716948835018664,23.899836197665795,23.010808812096673,0.8389867200999529,22.647983602731834
579577455451311891,4.736476229116632,-72.08840438469188,0.0310456,1.0,54,3,6,11,1,25.09161321678233,0.3581539846982975,24.7847449514613,24.313367216505252,0.12971616062851304,23.978165970473558,24.487815630908152,0.1540006338075795,24.069698489361734,23.69981892017652,1.5781129525709696,23.55690147030776
579577455451311892,4.843571321002555,-72.08944401224934,0.0308729,0.0,54,4,7,13,4,22.325164375739234,0.025516094073915026,22.313089705677605,21.157788756355703,0.007771211196975189,21.14694790410219,20.612345632293387,0.004558405822859023,20.598015329766334,20.249928995776123,0.034365252834813294,20.237385474613042
579577455451311893,4.840619007508616,-72.09000416727933,0.030888,0.0,54,4,6,13,4,22.34686044612173,0.026077360465829307,22.3470695687486,21.15613383394048,0.007726517140762699,21.157910661214217,20.636774226776108,0.004655083179278318,20.6379612013926,20.28902235078836,0.035624967389555,20.281182104919782
579577455451311894,4.837564608205558,-72.08928172193544,0.0308877,1.0,54,4,6,13,4,22.449384932284765,0.02852563053981722,22.439244491245745,22.2723051675335,0.020301670247531944,22.2577845664189,22.208066213496977,0.018404565658665484,22.184971322219596,22.494534178422732,0.2685191747709577,22.50440915321489
579577455451311895,4.837078566981935,-72.08998179496263,0.0308977,1.0,54,4,6,13,4,24.78697947577468,0.23842908415087305,24.61304860496428,24.054673614540903,0.10186297505424315,23.842983606107218,24.065589738982087,0.09979612844128281,23.789426236452897,23.224053330669925,0.5254939325314014,22.98498412796898
579577455451311896,4.659816525853553,-72.08941469314375,0.0311615,1.0,54,3,4,11,2,22.711942826140415,0.04050067376097803,22.6917597534947,21.670997732344098,0.015080989764159721,21.646207468776407,21.124958059129845,0.007772309614333819,21.09394412618303,20.659066941437413,0.07283297926736239,20.63196065345152
579577455451311897,4.657383976964941,-72.08995167557178,0.0311589,,54,3,4,11,2,25.2363843615354,0.40287129721456283,,24.248274112656738,0.15341370893966627,,24.1130617729414,0.10882917618570154,,22.631826864322818,0.4481970443243615,
579577455451311900,4.740364694675643,-72.08816829097543,0.0310385,0.0,54,3,6,11,1,26.46936208899607,1.2702354262397821,26.61951587409185,24.973910338637406,0.2621551902236307,24.976972645666493,24.622311179716398,0.174386896852895,24.63321114245818,24.108035127010027,2.2999901045846167,24.126215863058157
579577455451311901,4.742199340658952,-72.08885732778359,0.031043,1.0,54,3,6,12,1,,,,25.360989703445927,0.3722411520203829,25.367148271092354,24.77813698100203,0.20097387909028128,24.71708395182815,23.42993974794819,1.2319536763723513,23.451668336134087
579577455451311902,4.742413794218388,-72.08834407574533,0.0310377,0.0,54,3,6,12,1,25.512889688980216,0.5271681469464149,25.370690702551407,25.0558439869242,0.282228020799017,25.114607549286315,24.792209260019447,0.20362332323452081,24.7809095558503,,,
579577455451311907,4.699467590443408,-72.08746528042869,0.0310887,1.0,54,3,5,10,1,24.3093789679947,0.17246932267064966,24.249878872258268,24.02113359671113,0.10923414494354498,23.92957985528304,23.287918533550474,0.053806608364514175,23.157586847778184,23.514543009415647,1.3384332003524035,24.02354062172075
579577455451311908,4.694720422076672,-72.08823570302792,0.0311032,1.0,54,3,5,10,1,24.21619924879429,0.1594026698548131,24.17889872504483,23.6841774491075,0.08034607686932758,23.613185415712696,23.8403317662696,0.0891483939363898,23.741696042771324,23.37374184116938,1.177715625435851,23.515787671068146
579577455451311909,4.696092334316291,-72.08804378001162,0.0310993,1.0,54,3,5,10,1,23.93535227199351,0.12276038641000989,23.828603637700112,24.124407307889513,0.11994125426664329,24.02072558733205,23.867369463460435,0.09132616360249093,23.601189041659026,24.419954060795572,3.08039133561871,24.621950468533406
579577455451311910,4.941591834929385,-72.0869846991045,0.0308525,0.0,54,5,8,11,4,24.512382279529668,0.1663369926836789,24.588053210893655,23.240501174046095,0.0459887006929907,23.2454935409039,22.239433700271718,0.020776042448636494,22.246768785313407,21.933092945404958,0.16547295082945015,21.960947039799738
579577455451311911,4.940829139657921,-72.08794275380627,0.0308764,0.0,54,5,8,11,4,23.193897453928898,0.050039762018593434,23.196069642955955,23.070221750927082,0.03686662699806323,23.06547258446894,23.00192070852753,0.0414269237260036,22.98977260691767,23.297109943452167,0.7762437729731898,23.3336012365911
579577455451311912,4.942337725000388,-72.08726046188251,0.030862,1.0,54,5,8,11,4,24.283545120510137,0.13458037135584147,23.017276230400157,23.82022731003306,0.07820839112038608,22.406576366866595,24.484400640002264,0.16147013917620498,22.674828727251885,22.380395980058843,0.3339133715806713,20.823186732606935
579577455451311916,4.991651030376634,-72.08773126442313,0.031001,0.0,54,6,8,13,4,22.26196509468829,0.02009311762363594,22.30567838952711,21.072792234274395,0.006382293309901821,21.078600428302636,19.678681581975837,0.002235897160664398,19.67199727042475,18.76835741023899,0.009043165207702215,18.765662041520297
579577455451311917,4.989120225037067,-72.08507519414398,0.0309241,0.0,54,6,8,13,4,21.701000660643345,0.012356345026541746,21.695304122427704,20.69598419371285,0.0047055446700304815,20.684755562418154,20.255177413593803,0.003379699724479489,20.241870293283345,19.886175760789428,0.02452364464552317,19.87034326441976
579577455451311918,4.990627198303255,-72.08444211756404,0.030911,0.0,54,6,8,13,4,24.00775039518625,0.09787832262732306,24.049549395276,22.495896676692023,0.02208397479836692,22.502167923952037,21.685924606167504,0.011492929297122768,21.689790655719317,21.454796917298005,0.10251528166327024,21.47889398787895
579577455451311919,4.991411810559556,-72.08899414708704,0.0310341,0.0,54,6,8,12,4,22.799143089034814,0.03253682362872987,22.79075451304522,22.556840284125524,0.024572961054400905,22.544601664345727,22.447255321567354,0.02371819360369077,22.434121306571612,22.462469890385016,0.25841165044181746,22.395926948003144
579577455451311920,4.991025202126006,-72.08586077429143,0.0309497,0.0,54,6,8,13,4,25.275238115465154,0.3109816450758355,25.417488897626356,24.114623767445096,0.0959930229018029,24.133084471206516,22.950758589914685,0.03587899465228138,22.95655159455794,22.610532238295775,0.29637906471262876,22.68228176977999
579577455451311921,4.996602804135365,-72.08647394422763,0.0309796,1.0,54,6,8,13,4,24.154445781159602,0.11096721770645723,24.15915591976901,23.707737966567297,0.06629863552060547,23.634045441004563,23.49555811894885,0.0610663063375439,23.401116798898634,23.070813062210515,0.4526431602997305,23.000619320606773
579577455451311922,4.98879175901552,-72.08401513128072,0.0308951,,54,6,8,13,4,24.50297371048748,0.1536041437638324,,24.162769299593638,0.10003118151509727,,24.125367195050792,0.10495271971675345,,23.40259236552266,0.6138883835688106,
579577455451311923,4.992501916814647,-72.08381671060054,0.0308991,1.0,54,6,8,13,4,25.363501157181258,0.3383300363004151,23.9653681782704,24.825190136566725,0.18401244962407895,23.63299121308495,24.343718059816176,0.1287312775389716,23.08834315844054,23.60118592154071,0.737235996136529,22.446558077743955
579577455451311924,4.993729285431956,-72.08602484805809,0.0309607,,54,6,8,13,4,24.32658997802097,0.12969830131808907,,24.371133255393193,0.12076670629482517,,25.10691246879224,0.2583107042037603,,24.81086419266054,2.2448302732227043,
579577455451311925,4.9945961587480125,-72.08341515703205,0.0308936,1.0,54,6,8,13,4,24.92254316813939,0.2246045744505819,24.791208373519815,24.46150537672836,0.13131658515893366,24.21926611262561,24.54613680885818,0.15503197334860094,24.321186512214684,24.4547198447709,1.617773413844143,24.172386882928663
579577455451311926,4.681689174033613,-72.0863206648165,0.0311071,1.0,54,3,5,10,1,23.90090215071764,0.1190341962318192,23.924415188924833,23.65538203136066,0.07795650352964952,23.63937900680354,23.61970278404203,0.0728607014184831,23.57209753112735,24.201319824529246,2.524535159477675,24.33204542985267
579577455451311927,4.681131121275125,-72.08663820382787,0.031111,,54,3,5,10,1,29.419204365042106,18.975008371841604,28.86220218810605,31.75033286254442,134.50994042968944,28.42164988491835,23.8439628044599,0.0894825201225739,23.455148686989915,22.461286113923244,0.5089100342765518,22.21114563066846
579577455451311928,4.678928638074214,-72.08709092247135,0.0311188,1.0,54,3,5,10,1,24.331026399341003,0.1768662513367686,24.20420868417777,24.356313444412393,0.1490259725208921,24.043894068471783,24.09965663922013,0.1130560553373966,23.800251131467338,23.365508375098344,1.1679005879107613,22.973525067589186
579577455451311929,4.934635027803722,-72.08622255879642,0.030813,1.0,54,5,8,12,4,24.311239482607366,0.1384196129914971,24.223280096719886,24.183281365571524,0.10124266001041078,24.107481128738385,23.9869413989193,0.09995879581029533,23.65923417135887,24.73261902396712,2.092939636938194,24.399918410303837
579577455451311930,4.933388008037816,-72.08665116023602,0.0308213,1.0,54,5,8,13,4,26.98428690094868,1.6047246133960744,26.551055631507342,26.032660731465285,0.5681406122809456,25.663052114047034,24.080335288663164,0.10889693099092303,23.809554294083114,22.57286292086903,0.2869429377574286,22.31239848849428
579577455451311933,4.706868152429632,-72.08447233235603,0.031049,0.0,54,3,6,11,1,23.92837157859045,0.1222103798176238,23.93037314982254,23.551292050188962,0.0715451106497964,23.553466051624245,23.686516680297892,0.07451434101544442,23.682047078010207,23.311664289315882,1.1082645528814805,23.38845839279896
579577455451311934,4.7089002736126515,-72.08484292114998,0.0310494,1.0,54,3,6,11,1,25.986972849661193,0.8072291444374148,25.69993499852746,25.219868972616013,0.3237358121363077,24.955873315216486,24.28935839173917,0.1283588487488221,24.01495140503765,23.263167541056603,1.0607787761843261,22.904346576375158
579577455451311935,5.028264641620665,-72.08375681011881,0.0309834,0.0,54,7,9,13,4,22.198048925389834,0.017550261785155213,22.192456759183436,21.097041914564294,0.006193066748928632,21.094084986785504,20.644956814307946,0.004658324827806575,20.643553172545133,20.310413960145254,0.0360691959459522,20.305987402766203
579577455451311936,5.030706920951939,-72.08446456970692,0.0310076,0.0,54,7,9,13,4,24.162144228486337,0.10276126957786723,24.199560326207877,23.709402763470415,0.06311984023279886,23.71576496944281,23.582188353617862,0.06371653928797189,23.591962497483365,24.48267936985399,1.6609873973772955,24.501812867968386
579577455451311937,4.682861299832144,-72.08401159650576,0.031084,0.0,54,3,5,10,1,24.02466868228498,0.1336888304495477,24.037678254244792,23.83838691759532,0.09211969398925132,23.847859272269197,23.702296523341737,0.07850612681073167,23.712804730065336,23.184467470109993,0.9893002072237809,23.156165737781773
579577455451311938,4.685702762406996,-72.08453546727857,0.031084,0.0,54,3,5,10,1,24.575655429573455,0.221547927071331,24.570049629271857,24.31783142271118,0.14342708868882004,24.339915539850647,23.886158132040173,0.0929272440466809,23.901751419290342,23.34920950055536,1.1506128556842345,23.375483432339145
